Title,Review,Rating
I. WANT. MORE.,"I am a huge F1 fan, and I have followed the sport for a long time, but this show is so bad, it has so many good moments, but for some reason, they falsify so many incidents. Put dialogue over the wrong moments, making best friends and buddies seem like they hate each other. It's absolutely absurd, and ruins the sport.",10
"This Series has brought me back to Formula 1, Thanks Netflix !","This show has done wonders for a sport which was losing spectators. F1 is as much about what is happening off track as on it. DTS Gets you hooked on to the off track drama, negotiations, rivalries, personalities, and everything in between.An absolute master stroke by Liberty Media and Netflix.",10
Disappointing season 4,I remember when I watched Senna years ago why I wasn't into f1. his show is done so beautifully. I really hope it gets picked up for a 3rd season as I will be following the 2020 season. I might even try to make it to Austin this year.,10
Nope,"I am in the middle of Season 3 and I undestand that Hole season cannot be described in 10 series, as a begginer I was amazed, but at the end of last(3rd) season I am dissapointed I want to know more details))... Ty for introduction.Right now I have to add some words to describe my opinion, but this revis was the shortest way not to spoiler, but thank the creators for the great introduction to F1...",10
Eye Opener,"Amazing work by Netflix. Love the editing, the storytelling and i can't even think the hard work they put in this.
You will know the BTS of Formula 1 , what's behind it, the money, the bosses, the fans, the technology, the politics and the drivers.After this doc you will have at least four favourite drivers that you will cheer at every race just so they can make 1 point.",10
Fantastic show!,Flawlessly produced. A documentary what will certainly draw new fans to this fantastic motor sport. Really hope that 2019 season is in the scope for another documentary like this.,10
Amazing,Eine Fortsetzung für die Saison 2019 wäre ein Genuss!,6
Excellent,"If you are you looking for a good ""prequel"" of 2019 championship, you can find it here. Great series that focus on young and prominent teams (or not so prominent).",1
Perfect!! Im a F1 fan now!!,"The first two episodes weren't fantastic, but it definitely picks up from there after they stop obsessing over Red Bull. Good to learn so much about the other drivers and teams that don't usually get too much coverage",10
Gripping and Excellent to say the least.,"The sport is exciting enough without all of the artificial rivalries and drama Netflix pumps in. No wonder a majority of the drivers don't want to participate anymore. Max won the championship last season, but since he didn't want to be involved after the BS narrative they gave him in season one, they pretty much just focus on Mercedes.. or Toto and Horner. DTS is just a F1 reality TV show for people that don't actually watch the races.",8
Well directed and explained the ground realities in F1,"I have binged this series non-stop! It even made me watch a F1 race for the first time! This documentary is very well made, every episode tells a different story. Every one of them is very intriguing, exciting and interesting. Can't wait till next season (and next race ;-) )!",10
Thrilling,"Started watching it out of the blue and man I have not been disappointed. The series is a perfect mixture of thrilling action that defines F1 while sneaking behind the scenes to showcase the politics, pressure behind the glamour and fame. An absolute must watch for any sports fan and I can guarantee this series will increase the viewership of F1 for years to come.",10
"Not good, not bad, but also not representitive","As an avid F1 fan I binge watched all 10 episodes of this brilliant documentary in a single weekend, but even if you only have a casual interest in the sport, it will show you a whole new side to the rivalry that goes on in the sport, not only between teams but also between teammates. I saw it in a whole new light as the race coverage at the track on a race weekend is all about what happens in front of the camera, this documentary crew were filming reaction behind the scenes and they did a great job. Only pity was that obviously Ferrari and Mercedes declined to be involved.",10
Fake and insincere reality show that's not about racing,"Great series, gave me one more reason to love F1. I can feel the current running down my veins while watching this series.",9
"Great show, arrogant teams","This is a brillant work of patchwork narrative structure. I can't imagine how hard it is to build this kind of storytelling, but what this show is doing is simply brilliant!I do not watch F1 races. It bores me and I don't know much about it. But in a sense, this show is not about that. It is about humans who do what they dream of in a world of big money, politics, back-stabbing, sharks, huge and terrifying challenges at every race.This is insane and wonderfully told, often suggested. This is high art and masterful storytelling. Try it. It doesn't matter if you like F1 racing. This is just crazy.",8
Fast! Thrilling! Touching!,This is homework for every wannabe F1 fan or hardcore F1. The photography is the best I have ever seen.Even if you have never watched F1 this will entertain you and possibly hook you.I am a female and I also love the eye candy.,9
The missing piece of F1,Even directed Netflix series will have less drama than the actual thing im guessing. What happened 2021 on the grid was unbeliveble... Cant wait for the new episodes.P. S. I know whose fans wont like the new episodes :),6
Great show!,"As Stefano Domenicali says in one of the episodes, his job is to maximize value of F1. Season 4 does literally that much more than previous seasons. They go through the season misplacing voice clips and radios to create artificial drama in a season that already contained enough drama, though that drama makes F1 looks bad for multiple reasons. They don't even mention race in Spa and go through the s**t fest of Abu Dhabi in very uncritical way. If you've watched every race of the season, then this won't provide any value whatsoever.",5
More please!,I really enjoyed and like the fact that it's about everything that happens in motorsport and teams behind races.,9
Could have gone deeper.,If you like shows like Hard knocks this will be a hit.It really shows how the sport is about a lot more than just fast drivers. The drivers and chiefs are mostly in focus which is as it should be but a little more depth about the crews would´ve been nice.The racing is somewhat exaggerated because they take all incidents from a race and stack them together but a real racing fan knows that´s not how a 60 lap race looks.The only negative is that none of the four top drivers is participating if you don´t count in passing. Of course I can see the difficulty in getting them to do it but that is how you get a 10 rating...,10
Superb fly on the wall documentary. Disappointing woke end to S3,"After watching the first two seasons of the show, it has to be said that the Netflix team did a nice job picking interesting storylines dealing with drivers and bosses as the go through their paces in a season. These give a great backdrop to the drama unfolding on the race tracks itself.
On the other hand, I felt that the show could possible have more continuity in terms of moving race to race and having the season results in context too. Currently, each episode has its own timeline which does not give the viewers much context w.r.t to the ongoing season.1 - (8 Sept 20)",10
Getting better all the time,"Thoroughly enjoyable series about the going-ons in F1 racing. Netflix found a way to give a human face to the politics, arrogance and uncompromising nature of this sport.I have become a fan of Daniel Ricciardo in the process and will be rooting for Magnussen this year and hope Ocon gets the Ferrari seat soon.",10
I really wanted to like this,Absolutely fantastic TV series of F1 and some of the drivers including their family life. Wonderfully edited story that makes you feel part of the action. Try one episode and you will be hooked!,10
Overdramatised dogturd,"On the one hand this show has its flaws. Most people are aware of them. Wrong quotes from wrong years, forced story lines and fake rivalries, etc.Nonetheless, it's entertaining to watch.So entertaining in fact, that after watching the first season I became a fan of F1, watch every race and know more about it than I ever thought I would. Enough to now know the flaws and deceptions of this show.In the end it's the best marketing F1 ever had. And I still watch it after season and am excited to see what they made out of the last season.",10
Hooked me on to F1 once again!,A documentary that gives unique insight into what happens behind the scenes in F1. Watch it!!,10
Doc series you don't want to miss,"Eveey season is worth watching. Though, if youre a real fan of formula 1, you will see a big change in season 3. Theres a microscope onto the political aspects on the formula 1 and not so much on the races and teams as in the first seasons. Because of this, i was pretty much dissapointed in the latest season. For example, The 'underdog' teams as Williams are not shown as much, and also, the big impact of the corona virus on the sports is not as detailed as it should be. The big statement Formula 1 made in #Weraceasone and Black Lives Matter dont even get any attention. Litteraly 1 sentance is made in the series about this. I wouldve expect more from Netflix to make a statement that this sport is not about race. Netflix makes it look like its business as usual after the shut down, which is not the case. I miss a lot of detailed info like crashes or car malfaction in some races and why some teams made it to podium. Maybe im micromanaging but i just miss a lot more information wich was not the case in previous seasons.",10
First time I make a review,"One big pro-Hamilton show. Very one sided view of the events that happend during the most exciting F1 year ever.Interviews and quotes are taken out of context to create situations that never happend, atleast nog in thuis wat.",6
This doc will make you fall in love with F1,"I watched this after my daughter, a non licensed mid 20, totally uninterested in motosports recommended it. She lives next to the Melbourne F1 track and went in 2019, after watching this and was a convert. My wife also similarly uninterested in motosport is now a convert. Me, I was a motosport fan for ages (even owned my own car), then drifted away as it became a little hum drum, but this has given me a new perspective. An inside line into the daily dramas of managing, driving, racing in motosport. So much so, I may even plan a holiday to Melbourne for Grand Prix weekend just for the hell of it. Something I never thought I would ever do. For me and my wife, one of the better aspects of this is that we have been to many of the locations where the races are run so a nostalgic flood of memories is a hit.I recommend this to anyone who is interested in knowing more about F1, fan or not, this is not just about the race, its so much more.",1
